image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
341973,000000341973.jpg,outdoor,blazepose,high,83.33,6,17,70.5
376625,000000376625.jpg,outdoor,blazepose,high,0.0,14,0,9.5
184978,000000184978.jpg,outdoor,movenet,low,100.0,16,17,18.3
497599,000000497599.jpg,indoor,movenet,high,100.0,9,12,18.1
455597,000000455597.jpg,indoor,blazepose,high,0.0,5,0,9.5
284764,000000284764.jpg,indoor,blazepose,high,100.0,8,17,70.4
411754,000000411754.jpg,indoor,movenet,low,50.0,12,16,18.1
361238,000000361238.jpg,indoor,movenet,medium,100.0,8,13,18.1
476258,000000476258.jpg,outdoor,movenet,medium,100.0,16,17,17.8
474854,000000474854.jpg,indoor,blazepose,medium,100.0,10,17,70.4
568584,000000568584.jpg,indoor,blazepose,low,0.0,12,0,9.4
51314,000000051314.jpg,outdoor,movenet,low,100.0,14,15,17.9
507473,000000507473.jpg,indoor,blazepose,medium,100.0,11,17,70.4
151000,000000151000.jpg,indoor,movenet,low,13.33,15,14,18.6
39785,000000039785.jpg,outdoor,movenet,low,100.0,16,17,17.8
97988,000000097988.jpg,outdoor,blazepose,high,100.0,16,17,70.4
39785,000000039785.jpg,outdoor,blazepose,low,87.5,16,17,70.1
186042,000000186042.jpg,outdoor,blazepose,medium,100.0,14,17,70.1
231508,000000231508.jpg,outdoor,blazepose,medium,100.0,15,17,70.4
396200,000000396200.jpg,outdoor,blazepose,medium,0.0,16,17,70.1
13729,000000013729.jpg,indoor,movenet,high,100.0,16,16,18.6
35062,000000035062.jpg,indoor,movenet,medium,0.0,3,0,17.7
465179,000000465179.jpg,indoor,blazepose,medium,100.0,12,17,70.4
229111,000000229111.jpg,indoor,movenet,low,100.0,8,10,18.7
222118,000000222118.jpg,indoor,blazepose,low,100.0,12,17,70.5
23359,000000023359.jpg,outdoor,blazepose,medium,100.0,17,17,70.2
381971,000000381971.jpg,outdoor,movenet,high,87.5,8,12,18.2
279278,000000279278.jpg,outdoor,blazepose,high,0.0,11,0,9.3
455301,000000455301.jpg,indoor,movenet,medium,100.0,10,14,18.0
313034,000000313034.jpg,indoor,movenet,low,100.0,7,11,17.1
445722,000000445722.jpg,outdoor,movenet,medium,100.0,2,15,17.1
448076,000000448076.jpg,indoor,movenet,medium,0.0,16,13,17.2
322724,000000322724.jpg,outdoor,movenet,medium,100.0,14,17,17.3
529148,000000529148.jpg,indoor,blazepose,high,100.0,11,17,70.2
355257,000000355257.jpg,indoor,movenet,medium,80.0,10,12,18.2
364557,000000364557.jpg,outdoor,movenet,high,25.0,12,16,17.8
396200,000000396200.jpg,outdoor,movenet,medium,0.0,16,17,18.8
147729,000000147729.jpg,indoor,blazepose,medium,80.0,5,17,71.0
397354,000000397354.jpg,indoor,movenet,medium,0.0,11,12,18.0
226662,000000226662.jpg,outdoor,blazepose,high,0.0,8,0,9.7
184978,000000184978.jpg,outdoor,blazepose,high,0.0,16,0,9.4
473869,000000473869.jpg,indoor,blazepose,high,100.0,12,17,70.6
331604,000000331604.jpg,outdoor,blazepose,low,0.0,13,0,70.3
192607,000000192607.jpg,outdoor,blazepose,high,100.0,16,17,70.4
394206,000000394206.jpg,outdoor,movenet,high,93.75,16,16,18.3
122962,000000122962.jpg,indoor,movenet,low,0.0,16,9,17.8
231508,000000231508.jpg,outdoor,blazepose,high,100.0,15,17,70.4
559543,000000559543.jpg,indoor,movenet,low,100.0,11,14,18.3
458109,000000458109.jpg,outdoor,blazepose,high,0.0,2,0,9.5
341828,000000341828.jpg,indoor,movenet,low,100.0,7,12,17.8
198489,000000198489.jpg,outdoor,blazepose,medium,100.0,15,17,70.2
